date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,evaluation_year,training_start,training_through,selected_c,calibration_slope,current_model_probability,selected_rankings_probability,all_rankings_probability,expanded_history_probability,expanded_history_features_changed,expanded_history_all_rankings_probability,market_probability,book_count,fixed_equal_logit_blend_probability,blend_probability,blend_status,selected_gamma
2022-02-26,f6a7b02c42e9fc5b,901e62b7af57f559,80daefbed11ce998,f2477cf43c4975cc,Alejandro Perez,Jonathan Martinez,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.444852483201194,0.444908929107037,0.45965804516359,0.444673705950861,True,0.456705114207958,,,,,,
2022-02-26,f6a7b02c42e9fc5b,c4eb14c3de579842,a20f234df70f2182,b1e5bcaad32a3cac,Ji Yeon Kim,Priscila Cachoeira,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.645541450989863,0.644500508849332,0.64431146155675,0.639039399957474,True,0.637698702963518,,,,,,
2022-02-26,f6a7b02c42e9fc5b,c5d5fcf290cc029e,3d074044a33825e7,ce175eaafe867d1f,Ramiz Brahimaj,Micheal Gillmore,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.547498477701356,0.551914899295287,0.557901680133432,0.525569082493015,True,0.542643839330679,,,,,,
2022-02-26,f6a7b02c42e9fc5b,cb1f27818d46af0e,1e4f273069fb9e85,809bd1a871491508,Fares Ziam,Terrance McKinney,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.543749256085491,0.54350208657726,0.535981108265074,0.695114284502177,True,0.668760815010823,,,,,,
2022-02-26,f6a7b02c42e9fc5b,f087a10a6f2bcc99,3eb4dc9a7d4ac906,68d35296f566792b,Ramona Pascual,Josiane Nunes,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.315888758122151,0.318605806486327,0.338843577509791,0.326866243947429,True,0.34121261399218,,,,,,
2022-03-05,75e0d3cc2262b732,36d9337a27b71ba9,207773daeb4afa7b,5b86d491d63890c5,Devonte Smith,Ludovit Klein,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.487118018531474,0.489081476333064,0.483202254107744,0.496747731265603,True,0.497600001345327,,,,,,
2022-03-05,75e0d3cc2262b732,43b43c5d439b2f98,3a46b268013afede,57b10fca4f9c9a7a,Kevin Holland,Alex Oliveira,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.794720556012748,0.78583350946068,0.800567203156151,0.850031764737069,True,0.853867092415166,,,,,,
2022-03-05,75e0d3cc2262b732,59d44b6888885500,2b6fc1c02736833d,7be14eaed4c74856,Umar Nurmagomedov,Brian Kelleher,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.751354072370157,0.753097354843396,0.755849481869184,0.811894712202249,True,0.803969992281714,,,,,,
2022-03-05,75e0d3cc2262b732,838bb84a5a976a9c,6a2f7c151031653d,b6452706b373eea1,Rafael Dos Anjos,Renato Moicano,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.480432817613439,0.473558727267925,0.547602987411821,0.533544723523516,True,0.604609908925512,,,,,,
2022-03-05,75e0d3cc2262b732,9321b3c90ea5ca6c,c41d426cc7326d1b,cd2c4d30c6e13b47,Yan Xiaonan,Marina Rodriguez,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.306697087260719,0.292194620314632,0.312101032734153,0.303239059060474,True,0.304579918877036,,,,,,
2022-03-05,75e0d3cc2262b732,abd45edc07a8d9e3,64a50dad704d1d49,d9c6f19f958643e9,Edson Barboza,Bryce Mitchell,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.363664697535152,0.363770111149027,0.378017016565036,0.319457808256658,True,0.341140853142573,,,,,,
2022-03-05,75e0d3cc2262b732,c420c376cc1d149c,c96d9178c9ed9e62,f00ac08ab056af5d,Tim Elliott,Tagir Ulanbekov,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.388286820087671,0.393205034362001,0.431730819254608,0.313032876473788,True,0.361644442824397,,,,,,
2022-03-05,75e0d3cc2262b732,c6fc43c351b08bda,a08ddd04eaffd81d,b4192a975027aab6,Mariya Agapova,Maryna Moroz,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.644015524371481,0.646828655942325,0.620210143831313,0.642740038788034,True,0.624431991240307,,,,,,
2022-03-05,75e0d3cc2262b732,cda06ff86cfe4f5f,85073dbd1be65ed9,e2f6b2769aaedd6c,Greg Hardy,Serghei Spivac,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.410261689959495,0.412300074132391,0.40274762830544,0.422913877674788,True,0.413491837331855,,,,,,
2022-03-05,75e0d3cc2262b732,d03d0abf331df751,47b9e0e7703a4868,dc9572dd6ec74859,Jorge Masvidal,Colby Covington,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.334028240354989,0.337481695294928,0.318606496449045,0.301823582890102,True,0.295458613794672,,,,,,
2022-03-05,75e0d3cc2262b732,d5323490163dde0e,0d65c432720accb9,e4277e87a789d687,Michal Oleksiejczuk,Dustin Jacoby,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.634474028008361,0.638988891572814,0.623971880481243,0.552211330210404,True,0.566966698693812,,,,,,
2022-03-05,75e0d3cc2262b732,ee278a5a25744cac,8667caa0451d245b,8c57c7b8c3bab0eb,Kennedy Nzechukwu,Nicolae Negumereanu,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.701518924822548,0.698177736528533,0.664657882940339,0.743558588043148,True,0.706251513311901,,,,,,
2022-03-05,75e0d3cc2262b732,fce6ab43b7d09aa4,4d8fa64202cee4c1,af9f42e6894047fc,Jalin Turner,Jamie Mullarkey,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.587015801302264,0.581952396195442,0.565157282160022,0.578778398023202,True,0.571734513485716,,,,,,
2022-03-12,1f9344211ca7fd60,226884e46a10865d,12ebd7d157e91701,e5549c82bfb5582d,Bruno Silva,Alex Pereira,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.546381054129257,0.542390591834334,0.522644449509217,0.541521839172511,True,0.531500624601203,,,,,,
2022-03-12,1f9344211ca7fd60,23eec2d9cb2d78cd,37d5b176d438d2a5,749f572d1d3161fb,Karl Roberson,Khalil Rountree Jr.,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.574457820616852,0.5680930061288,0.543133489152725,0.597417091113856,True,0.567294428429607,,,,,,
2022-03-12,1f9344211ca7fd60,26fbee4ed13ff35d,38c7f72747f4f712,6fd953151d981979,Gillian Robertson,JJ Aldrich,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.492743556023477,0.495804627372683,0.517918637033253,0.498947544697876,True,0.51504394247375,,,,,,
