date,fight_url,event_url,fighter_url,opponent_url,fighter,opponent,result,method,division,round,time,time_format,total_fight_time,source_card_index,bout_order,emit_training_target,history_source,knockdowns,sig_strikes_landed,sig_strikes_attempts,total_strikes_landed,total_strikes_attempts,takedowns_landed,takedowns_attempts,sub_attempts,reversals,control
2009-04-17,https://external-mma.invalid/fight-details/external_e8f2bbcd73a9e4c03f9f40f526d5a7d7,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_2684d0852bd7e8e547a56ffc,https://external-mma.invalid/fighter-details/external_146f281e133d5e92dde1eb57,Edwin Aguilar,Yosmany Cabezas,L,SUB,Unknown,1.0,,,,6,4,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_e8f2bbcd73a9e4c03f9f40f526d5a7d7,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_146f281e133d5e92dde1eb57,https://external-mma.invalid/fighter-details/external_2684d0852bd7e8e547a56ffc,Yosmany Cabezas,Edwin Aguilar,W,SUB,Unknown,1.0,,,,6,4,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_0424a71c4751233e2c5e23a0feec7466,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/db1f2ed63b54b9a7,https://external-mma.invalid/fighter-details/external_9738afe0e866a1ec212faf9c,Hector Lombard,Virgil Lozano,W,KO/TKO,Unknown,1.0,,,,5,5,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_0424a71c4751233e2c5e23a0feec7466,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_9738afe0e866a1ec212faf9c,https://external-mma.invalid/fighter-details/db1f2ed63b54b9a7,Virgil Lozano,Hector Lombard,L,KO/TKO,Unknown,1.0,,,,5,5,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_bf40690d0d01e0725c91e2d346611d69,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_bc3ecf0527550f82d672ca44,https://external-mma.invalid/fighter-details/external_ccd69f87c7d13f6a87deaae3,Rudy Sylvester Lindsey,Wayne Cole,W,KO/TKO,Unknown,2.0,,,,4,6,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_bf40690d0d01e0725c91e2d346611d69,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_ccd69f87c7d13f6a87deaae3,https://external-mma.invalid/fighter-details/external_bc3ecf0527550f82d672ca44,Wayne Cole,Rudy Sylvester Lindsey,L,KO/TKO,Unknown,2.0,,,,4,6,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_19779ef6df1083266f3f75fe8ff2a81b,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_686e46ac4fdb02ee74c79672,https://external-mma.invalid/fighter-details/external_cc50456a777e27ac0f42de0b,Jason Norwood,Jon Kirk,W,SUB,Unknown,2.0,,,,3,7,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_19779ef6df1083266f3f75fe8ff2a81b,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_cc50456a777e27ac0f42de0b,https://external-mma.invalid/fighter-details/external_686e46ac4fdb02ee74c79672,Jon Kirk,Jason Norwood,L,SUB,Unknown,2.0,,,,3,7,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_5f185763e718c4acb363dcf9a6c5ce62,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/1562b12763cc8d67,https://external-mma.invalid/fighter-details/external_072039c901a3cc1fa8cb08b6,Alex Andrade,James Damien Stelly,L,U-DEC,Unknown,3.0,,,,2,8,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_5f185763e718c4acb363dcf9a6c5ce62,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_072039c901a3cc1fa8cb08b6,https://external-mma.invalid/fighter-details/1562b12763cc8d67,James Damien Stelly,Alex Andrade,W,U-DEC,Unknown,3.0,,,,2,8,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
