surface,matchup_id,selection,book,moneyline,estimated_probability,estimated_expected_return,observed_at_utc,comparison_only,on_qualified_board,price_contract_complete,settlement_status,paper_action
method_price_comparison,matchup_efceb8a2cf0faca403b487b7f86a45ed53496d69cfb44431d1fce10df1751431,Losene Keita by DECISION,BetRivers,240,0.20767365747462116,-0.29390956458628803,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_efceb8a2cf0faca403b487b7f86a45ed53496d69cfb44431d1fce10df1751431,Losene Keita by KO/TKO,BetWay,-125,0.3151026187018672,-0.432815286336639,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_efceb8a2cf0faca403b487b7f86a45ed53496d69cfb44431d1fce10df1751431,Losene Keita by SUBMISSION,BetWay,2000,0.10305886886044643,1.164236246069375,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_efceb8a2cf0faca403b487b7f86a45ed53496d69cfb44431d1fce10df1751431,Losene Keita by DECISION,BetWay,225,0.20767365747462116,-0.32506061320748125,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_efceb8a2cf0faca403b487b7f86a45ed53496d69cfb44431d1fce10df1751431,Losene Keita by KO/TKO,FanDuel,105,0.3151026187018672,-0.35403963166117236,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_efceb8a2cf0faca403b487b7f86a45ed53496d69cfb44431d1fce10df1751431,Losene Keita by SUBMISSION,FanDuel,2000,0.10305886886044643,1.164236246069375,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_efceb8a2cf0faca403b487b7f86a45ed53496d69cfb44431d1fce10df1751431,Losene Keita by DECISION,FanDuel,230,0.20767365747462116,-0.3146769303337502,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_efceb8a2cf0faca403b487b7f86a45ed53496d69cfb44431d1fce10df1751431,Losene Keita by KO/TKO,Unibet,102,0.3151026187018672,-0.3634927102222283,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_efceb8a2cf0faca403b487b7f86a45ed53496d69cfb44431d1fce10df1751431,Losene Keita by SUBMISSION,Unibet,1800,0.10305886886044643,0.9581185083484822,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_efceb8a2cf0faca403b487b7f86a45ed53496d69cfb44431d1fce10df1751431,Losene Keita by DECISION,Unibet,240,0.20767365747462116,-0.29390956458628803,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_e77fa0e4f3862227418eef40fbbb1a99437034414985a81107bee615f9da08ca,Felipe Lima by KO/TKO,BetRivers,540,0.14391401915931962,-0.07895027738035443,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_e77fa0e4f3862227418eef40fbbb1a99437034414985a81107bee615f9da08ca,Felipe Lima by SUBMISSION,BetRivers,540,0.15650323814071254,0.0016207241005603557,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_e77fa0e4f3862227418eef40fbbb1a99437034414985a81107bee615f9da08ca,Felipe Lima by DECISION,BetRivers,138,0.31855782745851924,-0.2418323706487242,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_e77fa0e4f3862227418eef40fbbb1a99437034414985a81107bee615f9da08ca,Felipe Lima by KO/TKO,BetWay,600,0.14391401915931962,0.007398134115237376,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_e77fa0e4f3862227418eef40fbbb1a99437034414985a81107bee615f9da08ca,Felipe Lima by SUBMISSION,BetWay,600,0.15650323814071254,0.09552266698498779,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_e77fa0e4f3862227418eef40fbbb1a99437034414985a81107bee615f9da08ca,Felipe Lima by DECISION,BetWay,130,0.31855782745851924,-0.2673169968454058,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_e77fa0e4f3862227418eef40fbbb1a99437034414985a81107bee615f9da08ca,Felipe Lima by KO/TKO,FanDuel,550,0.14391401915931962,-0.06455887546442252,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_e77fa0e4f3862227418eef40fbbb1a99437034414985a81107bee615f9da08ca,Felipe Lima by SUBMISSION,FanDuel,600,0.15650323814071254,0.09552266698498779,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_e77fa0e4f3862227418eef40fbbb1a99437034414985a81107bee615f9da08ca,Felipe Lima by DECISION,FanDuel,145,0.31855782745851924,-0.21953332272662784,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_e77fa0e4f3862227418eef40fbbb1a99437034414985a81107bee615f9da08ca,Felipe Lima by KO/TKO,Unibet,550,0.14391401915931962,-0.06455887546442252,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_e77fa0e4f3862227418eef40fbbb1a99437034414985a81107bee615f9da08ca,Felipe Lima by SUBMISSION,Unibet,550,0.15650323814071254,0.01727104791463141,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_e77fa0e4f3862227418eef40fbbb1a99437034414985a81107bee615f9da08ca,Felipe Lima by DECISION,Unibet,138,0.31855782745851924,-0.2418323706487242,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Mario Pinto by KO/TKO,BetRivers,-118,0.26390945219602113,-0.5124384696717577,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Mario Pinto by SUBMISSION,BetRivers,750,0.12068514441615727,0.02582372753733675,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Mario Pinto by DECISION,BetRivers,550,0.3826797600975151,1.487418440633848,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
